mode;first_move;depth;first_time;second_time;first_moves;second_moves;heuristic;first_points;second_points;winner;winner_time_per_move;winner_moves
minmax;1;2;0,24;0,38;6;5;Steal;12;36;1;0,07576;5
minmax;2;2;0,31;0,49;6;6;Steal;35;13;0;0,051683333;6
minmax;3;2;0,46;0,36;7;5;Steal;44;4;0;0,065885714;7
minmax;4;2;0,91;0,57;6;7;Steal;35;13;0;0,151833333;6
minmax;5;2;0,46;1,25;7;5;Steal;37;11;0;0,066157143;7
minmax;6;2;1,06;1,62;12;11;Steal;16;32;1;0,147627273;11
minmax;1;2;3,26;4,67;17;22;Most Points;18;30;1;0,212377273;22
minmax;2;2;3,30;17,63;14;13;Most Points;21;27;1;1,355938462;13
minmax;3;2;8,72;4,73;19;13;Most Points;25;23;0;0,459042105;19
minmax;4;2;16,49;7,12;19;11;Most Points;17;31;1;0;11
minmax;5;2;1,35;6,77;10;17;Most Points;13;35;1;0,398188235;17
minmax;6;2;5,27;2,90;23;8;Most Points;35;13;0;0,228930435;23
minmax;1;2;8,68;7,38;18;29;Points Diff;19;29;1;0;29
minmax;2;2;14,85;24,95;20;29;Points Diff;20;28;1;0,860248276;29
minmax;3;2;4,73;4,71;21;22;Points Diff;32;16;0;0,225052381;21
minmax;4;2;13,67;7,09;31;24;Points Diff;29;19;0;0,440980645;31
minmax;5;2;2,51;9,48;12;15;Points Diff;10;38;1;0,63218;15
minmax;6;2;30,16;10,78;34;11;Points Diff;36;12;0;0,887182353;34
minmax;1;2;7,74;9,81;33;36;Far From Mancala;26;22;0;0,234663636;33
minmax;2;2;9,70;4,90;28;28;Far From Mancala;19;29;1;0;28
minmax;3;2;4,92;8,18;37;35;Far From Mancala;29;19;0;0,132864865;37
minmax;4;2;10,32;3,24;24;28;Far From Mancala;19;29;1;0;28
minmax;5;2;5,76;7,87;26;29;Far From Mancala;19;29;1;0,271534483;29
minmax;6;2;6,29;8,87;40;38;Far From Mancala;26;22;0;0,1571625;40
alfabeta;1;2;0,18;0,26;6;5;Steal;12;36;1;0,05218;5
alfabeta;2;2;0,27;0,27;6;6;Steal;35;13;0;0,045616667;6
alfabeta;3;2;0,39;0,29;7;5;Steal;44;4;0;0,056214286;7
alfabeta;4;2;0,35;0,47;6;7;Steal;35;13;0;0,057716667;6
alfabeta;5;2;0,36;0,36;7;5;Steal;37;11;0;0,051171429;7
alfabeta;6;2;0,79;0,72;12;11;Steal;16;32;1;0;11
alfabeta;1;2;2,40;3,29;17;22;Most Points;18;30;1;0,149713636;22
alfabeta;2;2;3,02;7,08;14;13;Most Points;21;27;1;0,544515385;13
alfabeta;3;2;5,96;2,40;19;13;Most Points;25;23;0;0,3136;19
alfabeta;4;2;7,68;3,97;19;11;Most Points;17;31;1;0;11
alfabeta;5;2;0,97;3,46;10;17;Most Points;13;35;1;0,203305882;17
alfabeta;6;2;3,26;1,58;23;8;Most Points;35;13;0;0,14176087;23
alfabeta;1;2;3,57;6,52;18;29;Points Diff;19;29;1;0,224962069;29
alfabeta;2;2;8,00;21,43;20;29;Points Diff;20;28;1;0,738934483;29
alfabeta;3;2;3,61;3,50;21;22;Points Diff;32;16;0;0,171790476;21
alfabeta;4;2;12,09;5,15;31;24;Points Diff;29;19;0;0,390022581;31
alfabeta;5;2;3,07;7,38;12;15;Points Diff;10;38;1;0,491953333;15
alfabeta;6;2;13,07;4,99;34;11;Points Diff;36;12;0;0,384558824;34
