mode,first_move,depth,first_time,second_time,first_moves,second_moves,heuristic,first_points,second_points
minmax,1,2,0.23600000000101318,0.37880000000001246,6,5,Steal, 12, 36
minmax,2,2,0.31010000000009086,0.49130000000019436,6,6,Steal, 35, 13
minmax,3,2,0.4612000000001615,0.35860000000109693,7,5,Steal, 44, 4
minmax,4,2,0.9109999999998841,0.5655000000004407,6,7,Steal, 35, 13
minmax,5,2,0.4631000000001606,1.247700000000851,7,5,Steal, 37, 11
minmax,6,2,1.0615999999998849,1.6239000000011217,12,11,Steal, 16, 32
minmax,1,2,3.2625999999997823,4.672299999998408,17,22,Most, 18, 30
minmax,2,2,3.303299999999343,17.627200000000176,14,13,Most, 21, 27
minmax,3,2,8.721800000000002,4.733299999999829,19,13,Most, 25, 23
minmax,4,2,16.4882999999989,7.115299999998825,19,11,Most, 17, 31
minmax,5,2,1.3489000000008744,6.769199999997255,10,17,Most, 13, 35
minmax,6,2,5.265399999999865,2.9015999999986164,23,8,Most, 35, 13
minmax,1,2,8.678300000001471,7.376400000000061,18,29,Points, 19, 29
minmax,2,2,14.846699999996105,24.9472000000015,20,29,Points, 20, 28
minmax,3,2,4.726099999992073,4.714299999998062,21,22,Points, 32, 16
minmax,4,2,13.670399999989868,7.090400000004493,31,24,Points, 29, 19
minmax,5,2,2.5112999999965524,9.482699999995958,12,15,Points, 10, 38
minmax,6,2,30.164199999997976,10.782700000003587,34,11,Points, 36, 12
minmax,1,2,7.743899999990589,9.8117000000002,33,36,Far, 26, 22
minmax,2,2,9.703000000005346,4.895699999998726,28,28,Far, 19, 29
minmax,3,2,4.916000000015686,8.18280000000371,37,35,Far, 29, 19
minmax,4,2,10.324000000000666,3.240799999986166,24,28,Far, 19, 29
minmax,5,2,5.760200000004545,7.87450000000689,26,29,Far, 19, 29
minmax,6,2,6.286500000001638,8.86889999998175,40,38,Far, 26, 22
alfabeta,1,2,0.18049999999991684,0.2609000000002304,6,5,Steal, 12, 36
alfabeta,2,2,0.2736999999997103,0.2747999999996864,6,6,Steal, 35, 13
alfabeta,3,2,0.3934999999994915,0.2915999999997254,7,5,Steal, 44, 4
alfabeta,4,2,0.34630000000079875,0.4670000000004393,6,7,Steal, 35, 13
alfabeta,5,2,0.358199999999087,0.36100000000027777,7,5,Steal, 37, 11
alfabeta,6,2,0.7909000000005939,0.7228000000010226,12,11,Steal, 16, 32
alfabeta,1,2,2.4044999999981442,3.2936999999986227,17,22,Most, 18, 30
alfabeta,2,2,3.022299999999589,7.078699999998328,14,13,Most, 21, 27
alfabeta,3,2,5.958400000006137,2.399299999995108,19,13,Most, 25, 23
alfabeta,4,2,7.675800000001232,3.967800000001631,19,11,Most, 17, 31
alfabeta,5,2,0.9689999999977772,3.4561999999969117,10,17,Most, 13, 35
alfabeta,6,2,3.2604999999943374,1.57980000000002,23,8,Most, 35, 13
alfabeta,1,2,3.5705000000074705,6.523899999999472,18,29,Points, 19, 29
alfabeta,2,2,7.995899999997391,21.429100000009527,20,29,Points, 20, 28
alfabeta,3,2,3.6075999999916064,3.50309999998899,21,22,Points, 32, 16
alfabeta,4,2,12.090699999983912,5.145299999991693,31,24,Points, 29, 19
alfabeta,5,2,3.0669999999943798,7.3792999999895414,12,15,Points, 10, 38
alfabeta,6,2,13.074999999993508,4.991500000002702,34,11,Points, 36, 12
alfabeta,1,2,5.331699999992168,5.83840000000535,33,36,Far, 26, 22
alfabeta,2,2,7.111900000001725,3.5588999999944804,28,28,Far, 19, 29
alfabeta,3,2,4.948699999985706,6.7886000000001445,37,35,Far, 29, 19
alfabeta,4,2,3.872999999998683,2.416800000005992,24,28,Far, 19, 29
alfabeta,5,2,5.8830000000043015,5.784299999987752,26,29,Far, 19, 29
alfabeta,6,2,6.877100000004077,6.822299999985404,40,38,Far, 26, 22
minmax,1,3,1.372900000003341,4.1214999999965585,6,5,Steal, 12, 36
minmax,2,3,3.3889999999949794,2.8091000000038946,6,6,Steal, 35, 13
minmax,3,3,3.744099999995143,3.0193999999994503,7,5,Steal, 44, 4
minmax,4,3,6.542300000006662,6.3728000000011775,6,7,Steal, 35, 13
minmax,5,3,3.946599999999023,12.86659999999884,9,12,Steal, 13, 35
minmax,6,3,14.683899999997863,11.05500000001669,15,10,Steal, 34, 14
minmax,1,3,11.072699999999713,53.183300000007705,10,21,Most, 15, 33
minmax,2,3,5.539499999990483,45.57270000000102,9,17,Most, 22, 26
minmax,3,3,42.901800000002766,33.90740000000392,18,12,Most, 29, 19
minmax,4,3,33.75460000000885,54.72410000000849,13,13,Most, 18, 30
minmax,5,3,20.092200000021876,48.93610000002013,15,19,Most, 15, 33
minmax,6,3,64.02180000002033,41.17120000000085,16,19,Most, 27, 21
minmax,1,3,43.229699999969284,173.07870000004755,18,31,Points, 19, 29
minmax,2,3,36.68050000001699,155.329100000003,18,30,Points, 20, 28
minmax,3,3,107.46299999998143,40.87469999998916,24,18,Points, 29, 19
minmax,4,3,88.44249999999931,126.3500000000164,17,28,Points, 15, 33
minmax,5,3,83.56959999998992,268.12889999999356,14,23,Points, 13, 35
minmax,6,3,132.9801000000117,37.46300000000247,23,12,Points, 34, 14
minmax,1,3,53.73639999993429,67.21180000002391,46,51,Far, 24, 24
minmax,2,3,83.31069999996998,104.71739999994156,28,32,Far, 16, 32
minmax,3,3,66.89049999999952,74.54699999991021,41,41,Far, 26, 22
minmax,4,3,119.36480000002803,94.45190000002412,41,39,Far, 15, 33
minmax,5,3,115.28369999993515,141.35950000004982,39,43,Far, 20, 28
